objects,EMMA_lard,SupCon_lard,EMMA_lrd,SupCon_lrd,EMMA_ard,SupCon_ard,EMMA_lr,EMMA_ld,EMMA_ar,EMMA_ad,EMMA_la,EMMA_lar,EMMA_lad,SupCon_lr,SupCon_ld,SupCon_ar,SupCon_ad,SupCon_la,SupCon_lar,SupCon_lad
scissors,0.955357143,0.963095238,0.958333333,0.95952381,0.889285714,0.871428571,0.879404762,0.927380952,0.840714286,0.844642857,0.932142857,0.904404762,0.929761905,0.911547619,0.916666667,0.829642857,0.817857143,0.93452381,0.909761905,0.908333333
screwdriver,0.699761905,0.73797619,0.671071429,0.741309524,0.715357143,0.685595238,0.664642857,0.644166667,0.686666667,0.638809524,0.902261905,0.690714286,0.666309524,0.755714286,0.688809524,0.678928571,0.664047619,0.941547619,0.756071429,0.69
shampoo,0.943333333,0.945,0.929166667,0.920833333,0.7985,0.818166667,0.895833333,0.905333333,0.793166667,0.783,0.777,0.928333333,0.92,0.894166667,0.9195,0.790666667,0.804833333,0.7565,0.905,0.92
soda_bottle,0.991666667,0.992857143,0.991666667,0.992857143,0.823928571,0.858214286,0.992857143,0.991666667,0.815,0.816190476,0.832738095,0.983928571,0.988095238,0.98452381,0.989285714,0.854642857,0.851666667,0.848214286,0.988095238,0.992857143
sponge,0.80375,0.858333333,0.762083333,0.85,0.722916667,0.755,0.870833333,0.656666667,0.820833333,0.637916667,0.77875,0.900833333,0.722083333,0.895833333,0.755833333,0.816666667,0.68375,0.748333333,0.925,0.739166667
spoon,0.875833333,0.8125,0.854833333,0.7845,0.797333333,0.720166667,0.634833333,0.897833333,0.6085,0.842833333,0.8645,0.634166667,0.92,0.588,0.842833333,0.575166667,0.800166667,0.870833333,0.584,0.872833333
stapler,0.864166667,0.826388889,0.862638889,0.837361111,0.753055556,0.737777778,0.858472222,0.778472222,0.728611111,0.723194444,0.844722222,0.870833333,0.779722222,0.868333333,0.772361111,0.740833333,0.684583333,0.848194444,0.855833333,0.755833333
syringe,0.945833333,0.955555556,0.937083333,0.950277778,0.808194444,0.843333333,0.925972222,0.901666667,0.836527778,0.772638889,0.873472222,0.948611111,0.895833333,0.932222222,0.931527778,0.830833333,0.804722222,0.889166667,0.961111111,0.923611111
tissue_box,0.79875,0.757083333,0.857083333,0.820416667,0.62875,0.638333333,0.6425,0.9675,0.52125,0.679166667,0.885416667,0.61125,0.897916667,0.659166667,0.91125,0.578333333,0.712083333,0.870833333,0.6425,0.852916667
toothbrush,0.981944444,0.952777778,0.957638889,0.943055556,0.936111111,0.891666667,0.861944444,0.933333333,0.880555556,0.888333333,0.938888889,0.882638889,0.925694444,0.858888889,0.922222222,0.845833333,0.841111111,0.936111111,0.8825,0.903472222
toothpaste,0.961111111,0.922222222,0.927777778,0.910416667,0.863194444,0.828472222,0.936388889,0.76875,0.925277778,0.772083333,0.888472222,0.961805556,0.820138889,0.880833333,0.781527778,0.861805556,0.760694444,0.896111111,0.920833333,0.830555556
water_bottle,0.982291667,0.98125,0.975208333,0.978645833,0.894791667,0.935833333,0.967708333,0.981458333,0.898125,0.866145833,0.879375,0.967395833,0.983333333,0.9625,0.983541667,0.926041667,0.924166667,0.887708333,0.965104167,0.973958333
